listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
6422,12/22/2022,f,$40.00 ,$40.00 ,30,365
6422,12/23/2022,f,$40.00 ,$40.00 ,30,365
6422,12/24/2022,f,$40.00 ,$40.00 ,30,365
6422,12/25/2022,f,$40.00 ,$40.00 ,30,365
6422,12/26/2022,f,$40.00 ,$40.00 ,30,365
6422,12/27/2022,f,$40.00 ,$40.00 ,30,365
6422,12/28/2022,f,$40.00 ,$40.00 ,30,365
6422,12/29/2022,f,$40.00 ,$40.00 ,30,365
6422,12/30/2022,f,$40.00 ,$40.00 ,30,365
6422,12/31/2022,f,$40.00 ,$40.00 ,30,365
6422,1/1/2023,t,$40.00 ,$40.00 ,30,365
6422,1/2/2023,t,$40.00 ,$40.00 ,30,365
6422,1/3/2023,t,$40.00 ,$40.00 ,30,365
6422,1/4/2023,t,$40.00 ,$40.00 ,30,365
6422,1/5/2023,f,$40.00 ,$40.00 ,30,365
6422,1/6/2023,f,$40.00 ,$40.00 ,30,365
6422,1/7/2023,f,$40.00 ,$40.00 ,30,365
6422,1/8/2023,f,$40.00 ,$40.00 ,30,365
6422,1/9/2023,f,$40.00 ,$40.00 ,30,365
6422,1/10/2023,f,$40.00 ,$40.00 ,30,365
6422,1/11/2023,f,$40.00 ,$40.00 ,30,365
6422,1/12/2023,f,$40.00 ,$40.00 ,30,365
6422,1/13/2023,f,$40.00 ,$40.00 ,30,365
6422,1/14/2023,f,$40.00 ,$40.00 ,30,365
6422,1/15/2023,f,$40.00 ,$40.00 ,30,365
6422,1/16/2023,f,$40.00 ,$40.00 ,30,365
6422,1/17/2023,f,$40.00 ,$40.00 ,30,365
6422,1/18/2023,f,$40.00 ,$40.00 ,30,365
6422,1/19/2023,f,$40.00 ,$40.00 ,30,365
6422,1/20/2023,f,$40.00 ,$40.00 ,30,365
6422,1/21/2023,f,$40.00 ,$40.00 ,30,365
6422,1/22/2023,f,$40.00 ,$40.00 ,30,365
6422,1/23/2023,f,$40.00 ,$40.00 ,30,365
6422,1/24/2023,f,$40.00 ,$40.00 ,30,365
6422,1/25/2023,f,$40.00 ,$40.00 ,30,365
6422,1/26/2023,f,$40.00 ,$40.00 ,30,365
6422,1/27/2023,f,$40.00 ,$40.00 ,30,365
6422,1/28/2023,f,$40.00 ,$40.00 ,30,365
6422,1/29/2023,f,$40.00 ,$40.00 ,30,365
6422,1/30/2023,f,$40.00 ,$40.00 ,30,365
6422,1/31/2023,f,$40.00 ,$40.00 ,30,365
6422,2/1/2023,f,$40.00 ,$40.00 ,30,365
6422,2/2/2023,f,$40.00 ,$40.00 ,30,365
6422,2/3/2023,f,$40.00 ,$40.00 ,30,365
6422,2/4/2023,f,$40.00 ,$40.00 ,30,365
6422,2/5/2023,f,$40.00 ,$40.00 ,30,365
6422,2/6/2023,f,$40.00 ,$40.00 ,30,365
6422,2/7/2023,f,$40.00 ,$40.00 ,30,365
6422,2/8/2023,f,$40.00 ,$40.00 ,30,365
6422,2/9/2023,t,$40.00 ,$40.00 ,30,365
6422,2/10/2023,t,$40.00 ,$40.00 ,30,365
6422,2/11/2023,t,$40.00 ,$40.00 ,30,365
6422,2/12/2023,f,$40.00 ,$40.00 ,30,365
6422,2/13/2023,f,$40.00 ,$40.00 ,30,365
6422,2/14/2023,f,$40.00 ,$40.00 ,30,365
6422,2/15/2023,f,$40.00 ,$40.00 ,30,365
6422,2/16/2023,f,$40.00 ,$40.00 ,30,365
6422,2/17/2023,f,$40.00 ,$40.00 ,30,365
6422,2/18/2023,f,$40.00 ,$40.00 ,30,365
6422,2/19/2023,f,$40.00 ,$40.00 ,30,365
6422,2/20/2023,f,$40.00 ,$40.00 ,30,365
6422,2/21/2023,f,$40.00 ,$40.00 ,30,365
6422,2/22/2023,f,$40.00 ,$40.00 ,30,365
6422,2/23/2023,f,$40.00 ,$40.00 ,30,365
6422,2/24/2023,f,$40.00 ,$40.00 ,30,365
6422,2/25/2023,f,$40.00 ,$40.00 ,30,365
6422,2/26/2023,f,$40.00 ,$40.00 ,30,365
6422,2/27/2023,f,$40.00 ,$40.00 ,30,365
6422,2/28/2023,f,$40.00 ,$40.00 ,30,365
6422,3/1/2023,f,$40.00 ,$40.00 ,30,365
6422,3/2/2023,f,$40.00 ,$40.00 ,30,365
6422,3/3/2023,f,$40.00 ,$40.00 ,30,365
6422,3/4/2023,f,$40.00 ,$40.00 ,30,365
6422,3/5/2023,f,$40.00 ,$40.00 ,30,365
6422,3/6/2023,f,$40.00 ,$40.00 ,30,365
6422,3/7/2023,f,$40.00 ,$40.00 ,30,365
6422,3/8/2023,f,$40.00 ,$40.00 ,30,365
6422,3/9/2023,f,$40.00 ,$40.00 ,30,365
6422,3/10/2023,f,$40.00 ,$40.00 ,30,365
6422,3/11/2023,f,$40.00 ,$40.00 ,30,365
6422,3/12/2023,f,$40.00 ,$40.00 ,30,365
6422,3/13/2023,f,$40.00 ,$40.00 ,30,365
6422,3/14/2023,f,$40.00 ,$40.00 ,30,365
6422,3/15/2023,f,$40.00 ,$40.00 ,30,365
